Instance, Min Distance, Time To Best (ms), Max Time (ms), Cost, Max Cost, Capacity, Min Capacity, LS1, LS2, LS3, Shake Iters, Shake Loops
GKD-c_01_n500_b02_m50_k02,9.4,2878,60000,61107,62820,50485,50374,297916/309465,2915/11549,0/0,8623,860
GKD-c_01_n500_b02_m50_k02,9.4,26293,60000,59906,62820,50494,50374,275484/286469,3200/10985,0/0,7765,773
GKD-c_01_n500_b02_m50_k02,9.4,25858,60000,60146,62820,50568,50374,266317/278188,4400/11871,0/0,7457,741
GKD-c_01_n500_b02_m50_k02,9.3,182,60000,62222,62820,50375,50374,247329/257807,3651/10478,0/0,6821,680
GKD-c_01_n500_b02_m50_k02,9.4,1675,60000,59995,62820,50598,50374,298041/309544,3142/11503,0/0,8350,832
GKD-c_01_n500_b02_m50_k02,9.4,1127,60000,60848,62820,50483,50374,244321/255433,4606/11112,0/0,6494,646
GKD-c_01_n500_b02_m50_k02,9.4,1445,60000,60999,62820,50399,50374,296152/307651,3153/11499,0/0,8334,831
GKD-c_01_n500_b02_m50_k02,9.4,41921,60000,62132,62820,50423,50374,262285/273479,3504/11194,0/0,7678,764
GKD-c_01_n500_b02_m50_k02,9.4,2762,60000,59908,62820,50400,50374,267595/278514,3388/10919,0/0,7519,750
GKD-c_01_n500_b02_m50_k02,9.4,53422,60000,60829,62820,50631,50374,312724/324422,2754/11698,0/0,8930,891
GKD-c_01_n500_b02_m50_k02,9.4,14716,60000,59895,62820,50380,50374,286515/298195,3513/11680,0/0,8144,811
GKD-c_01_n500_b02_m50_k02,9.4,1803,60000,60317,62820,50374,50374,326416/338460,2671/12044,0/0,9354,933
GKD-c_01_n500_b02_m50_k02,9.4,28150,60000,60532,62820,50393,50374,278603/289698,3265/11095,0/0,7822,780
GKD-c_01_n500_b02_m50_k02,9.3,153,60000,61351,62820,50381,50374,272779/283312,2485/10533,0/0,8041,802
GKD-c_01_n500_b02_m50_k02,9.4,3045,60000,60839,62820,50457,50374,244827/255691,4246/10864,0/0,6610,660
GKD-c_01_n500_b02_m50_k02,9.4,3579,60000,60506,62820,50476,50374,296893/308454,3245/11561,0/0,8305,828
GKD-c_01_n500_b02_m50_k02,9.4,18380,60000,60829,62820,50436,50374,297266/308346,2623/11080,0/0,8449,843
GKD-c_01_n500_b02_m50_k02,9.4,19421,60000,61484,62820,50391,50374,272176/283652,3406/11476,0/0,8060,804
GKD-c_01_n500_b02_m50_k02,9.4,2412,60000,60634,62820,50432,50374,296256/308228,3609/11972,0/0,8347,831
GKD-c_01_n500_b02_m50_k02,9.4,126,60000,60427,62820,50377,50374,326829/338812,2218/11983,0/0,9761,975
GKD-c_01_n500_b02_m50_k02,9.4,6867,60000,60061,62820,50421,50374,287377/299021,3777/11644,0/0,7853,783
GKD-c_01_n500_b02_m50_k02,9.4,4614,60000,61928,62820,50413,50374,304980/316670,2425/11690,0/0,9249,922
GKD-c_01_n500_b02_m50_k02,9.4,3202,60000,60641,62820,50404,50374,302227/313879,2408/11652,0/0,9236,921
GKD-c_01_n500_b02_m50_k02,9.4,9027,60000,60811,62820,50521,50374,285295/296518,3036/11223,0/0,8176,814
GKD-c_01_n500_b02_m50_k02,9.4,32601,60000,61227,62820,50462,50374,284831/295789,2583/10958,0/0,8353,831
GKD-c_01_n500_b02_m50_k02,9.4,1277,60000,60123,62820,50554,50374,308379/319952,2740/11573,0/0,8818,879
GKD-c_01_n500_b02_m50_k02,9.4,12772,60000,61928,62820,50413,50374,314476/326428,2268/11952,0/0,9671,964
GKD-c_01_n500_b02_m50_k02,9.4,18985,60000,61090,62820,50393,50374,267036/278047,3524/11011,0/0,7475,745
GKD-c_01_n500_b02_m50_k02,9.4,31996,60000,59931,62820,50414,50374,248439/258970,3572/10531,0/0,6949,694
GKD-c_01_n500_b02_m50_k02,9.4,3628,60000,61800,62820,50397,50374,282787/293761,2626/10974,0/0,8329,830
GKD-c_01_n500_b02_m50_k03,9.4,4161,60000,63943,94230,50412,50374,268560/279378,3141/10818,0/0,7655,760
GKD-c_01_n500_b02_m50_k03,9.4,6143,60000,63920,94230,50398,50374,270379/281121,3025/10742,0/0,7703,767
GKD-c_01_n500_b02_m50_k03,9.4,23687,60000,64361,94230,50375,50374,306588/317813,2105/11225,0/0,9111,909
GKD-c_01_n500_b02_m50_k03,9.4,2760,60000,60759,94230,50595,50374,285369/296851,3654/11482,0/0,7812,778
GKD-c_01_n500_b02_m50_k03,9.4,7197,60000,63054,94230,50524,50374,282511/293181,2631/10670,0/0,8031,801
GKD-c_01_n500_b02_m50_k03,9.4,19276,60000,63235,94230,50403,50374,302232/313362,2496/11130,0/0,8620,858
GKD-c_01_n500_b02_m50_k03,9.4,2003,60000,59931,94230,50414,50374,262882/273949,3838/11067,0/0,7214,719
GKD-c_01_n500_b02_m50_k03,9.4,2745,60000,60744,94230,50388,50374,309901/321647,2824/11746,0/0,8908,888
GKD-c_01_n500_b02_m50_k03,9.4,4294,60000,60913,94230,50401,50374,321878/333484,2434/11606,0/0,9158,912
GKD-c_01_n500_b02_m50_k03,9.4,12102,60000,60206,94230,50493,50374,271178/281962,3594/10784,0/0,7177,714
GKD-c_01_n500_b02_m50_k03,9.4,3756,60000,63558,94230,50446,50374,271041/281523,2950/10482,0/0,7518,748
GKD-c_01_n500_b02_m50_k03,9.4,11140,60000,60150,94230,50408,50374,273138/284322,3800/11184,0/0,7370,734
GKD-c_01_n500_b02_m50_k03,9.4,1164,60000,60807,94230,50377,50374,279988/292031,4496/12043,0/0,7534,751
GKD-c_01_n500_b02_m50_k03,9.4,4117,60000,62745,94230,50510,50374,287335/297883,2132/10548,0/0,8406,838
GKD-c_01_n500_b02_m50_k03,9.4,8840,60000,64473,94230,50602,50374,258701/269391,3652/10690,0/0,7021,698
GKD-c_01_n500_b02_m50_k03,9.4,36701,60000,62498,94230,50374,50374,298578/309741,2303/11163,0/0,8846,883
GKD-c_01_n500_b02_m50_k03,9.4,1029,60000,60064,94230,50383,50374,301217/312813,3301/11596,0/0,8287,827
GKD-c_01_n500_b02_m50_k03,9.4,14186,60000,60061,94230,50421,50374,281750/292905,3522/11155,0/0,7621,759
GKD-c_01_n500_b02_m50_k03,9.4,1648,60000,62716,94230,50417,50374,319809/331001,1529/11192,0/0,9648,962
GKD-c_01_n500_b02_m50_k03,9.4,10532,60000,60913,94230,50401,50374,320776/332300,2359/11524,0/0,9149,911
GKD-c_01_n500_b02_m50_k03,9.3,111,60000,62041,94230,50408,50374,256364/267289,3983/10925,0/0,6934,691
GKD-c_01_n500_b02_m50_k03,9.4,2471,60000,60450,94230,50391,50374,291632/302954,3176/11322,0/0,8138,812
